Emotion,Gender,Talker,Cue,sentencenum,code,sentence,scoring word 1,scoring word 2,Arousal,Valence,Category_Accuracy,GoF,Percent_A,Percent_C,Percent_H,Percent_S,,,,
A,M,3,T,25,AM3T25,T295.  Theo discussed the weed and the tooth today,weed,tooth,69.352,37.73,1,51.85,1,0,0,0,,,,
S,F,2,V,6,SF2V06,V186.  Victor discussed the hook and the match today,hook,match,33.993,38.136,0.7,51.93125,0,0.3,0,0.7,,,,
S,F,2,M,20,SF2M20,M200.  Michael discussed the stock and the mate today,stock,mate,29.909,35.36,0.7,52.045,0,0.3,0,0.7,,,,
A,F,1,V,15,AF1V15,V45.  Victor discussed the dot and the fee today,dot,fee,69.747,32.542,0.9,52.07714286,0.9,0.1,0,0,,,,
A,M,3,M,5,AM3M05,M275.  Michael discussed the beat and the floor today,beat,floor,61.916,35.614,0.8,52.18,0.8,0.2,0,0,,,,
A,F,3,V,5,AF3V05,V275.  Victor discussed the rig and the child today,rig,child,69.555,35.827,0.7,52.19,0.7,0.3,0,0,,,,
A,F,3,V,30,AF3V30,V300.  Victor discussed the teammate and the siren today,teammate,siren,74.225,31.925,0.8,52.1925,0.8,0.2,0,0,,,,
A,F,1,V,26,AF1V26,V56.  Victor discussed the birthday and the stick today,birthday,stick,68.134,34.742,0.8,52.25,0.8,0.2,0,0,,,,
S,F,2,V,19,SF2V19,V199.  Victor discussed the design and the tune today,design,tune,30.069,36.606,0.7,52.3575,0,0.3,0,0.7,,,,
A,F,1,M,4,AF1M04,M34.  Michael discussed the mountain and the college today,mountain,college,68.522,35.767,0.9,52.51285714,0.9,0.1,0,0,,,,
A,M,2,V,28,AM2V28,V178.  Victor discussed the creek and the sculpture today,creek,sculpture,68.765,34.205,0.8,52.87375,0.8,0.2,0,0,,,,
A,M,2,T,1,AM2T01,T151.  Theo discussed the gypsy and the beep today,gypsy,beep,69.716,38.517,0.8,52.91875,0.8,0.2,0,0,,,,
A,F,1,T,14,AF1T14,T44.  Theo discussed the robe and the turn today,robe,turn,68.674,32.511,0.9,53.06,0.9,0.1,0,0,,,,
A,F,1,V,6,AF1V06,V36.  Victor discussed the curb and the oven today ,curb,oven,68.095,27.852,0.9,53.11857143,0.9,0.1,0,0,,,,
A,M,2,M,9,AM2M09,M159.  Michael discussed the leader and the tone today,leader,tone,64.489,35.785,0.9,53.185,0.9,0,0,0.1,,,,
A,F,1,V,17,AF1V17,V47.  Victor discussed the clay and the network today,clay,network,70.569,31.648,0.9,53.30285714,0.9,0.1,0,0,,,,
A,F,1,T,11,AF1T11,T41.  Theo discussed the knee and the mustard today,knee,mustard,69.969,30.953,0.9,53.30714286,0.9,0.1,0,0,,,,
S,M,2,M,7,SM2M07,M187.  Michael discussed the cocoa and the pest today,cocoa,pest,27.246,36.19,0.7,53.33,0,0.3,0,0.7,,,,
A,M,3,M,25,AM3M25,M295.  Michael discussed the broom and the sleeve today,broom,sleeve,63.931,37.863,0.8,53.3425,0.8,0.2,0,0,,,,
A,M,3,M,15,AM3M15,M285.  Michael discussed the time and the value today,time,value,64.258,35.735,0.9,53.345,0.9,0.1,0,0,,,,
A,M,1,M,19,AM1M19,M49.  Michael discussed the switch and the zone today,switch,zone,73.527,34.103,0.8,53.38125,0.8,0.2,0,0,,,,
A,M,2,M,1,AM2M01,M151.  Michael discussed the shortage and the edge today,shortage,edge,66.25,38.52,0.8,53.42625,0.8,0.2,0,0,,,,
A,F,1,M,20,AF1M20,M50.  Michael discussed the freedom and the pocket today,freedom,pocket,68.669,32.671,0.9,53.46428571,0.9,0.1,0,0,,,,
S,F,2,V,17,SF2V17,V197.  Victor discussed the upgrade and the ballot today,upgrade,ballot,35.501,34.996,0.7,53.48375,0.1,0.2,0,0.7,,,,
A,M,1,M,6,AM1M06,M36.  Michael discussed the maid and the warehouse today,maid,warehouse,67.233,38.299,0.7,53.5075,0.7,0.3,0,0,,,,
A,F,1,V,30,AF1V30,V60.  Victor discussed the routine and the silk today,routine,silk,70.973,34.712,0.9,53.59428571,0.9,0.1,0,0,,,,
A,M,1,V,25,AM1V25,V55.  Victor discussed the check and the mustache today,check,mustache,72.31,31.174,1,53.82375,1,0,0,0,,,,
S,F,1,T,14,SF1T14,T74.  Theo discussed the shed and the voting today,shed,voting,56.384,39.999,0.6,53.94375,0,0.4,0,0.6,,,,
A,M,2,V,22,AM2V22,V172.  Victor discussed the raid and the jeans today,raid,jeans,63.212,33.5,0.7,53.975,0.7,0.3,0,0,,,,
S,M,2,V,25,SM2V25,V205.  Victor discussed the lobby and the pedals today,lobby,pedals,27.508,37.695,0.6,54.04875,0,0.4,0,0.6,,,,
A,M,2,T,18,AM2T18,T168.  Theo discussed the code and the grip today,code,grip,68.349,33.141,0.9,54.135,0.9,0.1,0,0,,,,
A,F,3,V,14,AF3V14,V284.  Victor discussed the defect and the savage today,defect,savage,71.966,31.034,0.7,54.135,0.7,0.1,0.2,0,,,,
A,M,2,V,16,AM2V16,V166.  Victor discussed the piece and the fluid today,piece,fluid,68.866,31.338,0.7,54.17875,0.7,0.3,0,0,,,,
A,F,1,T,6,AF1T06,T36.  Theo discussed the class and the sewer today,class,sewer,70.67,31.448,1,54.27571429,1,0,0,0,,,,
A,F,3,T,21,AF3T21,T291.  Theo discussed the street and the praise today,street,praise,69.361,34.488,0.5,54.29375,0.5,0.3,0.2,0,,,,
A,F,1,T,28,AF1T28,T58.  Theo discussed the railroad and the wonder today,railroad,wonder,70.695,30.565,0.9,54.31857143,0.9,0.1,0,0,,,,
A,M,2,M,28,AM2M28,M178.  Michael discussed the hat and the jungle today,hat,jungle,68.864,35.418,0.7,54.4325,0.7,0.3,0,0,,,,
A,M,2,T,22,AM2T22,T172.  Theo discussed the snob and the train today,snob,train,63.567,32.695,0.8,54.44125,0.8,0.1,0,0.1,,,,
A,M,2,M,2,AM2M02,M152.  Michael discussed the park and the cash today,park,cash,67.978,34.389,0.8,54.47625,0.8,0.2,0,0,,,,
H,M,2,V,7,HM2V07,V217.  Victor discussed the cottage and the raisin today,cottage,raisin,69.585,66.191,0.9,54.50142857,0.1,0,0.9,0,,,,
S,F,2,V,2,SF2V02,V182.  Victor discussed the hint and the wagon today,hint,wagon,32.757,37.7,0.8,54.58375,0,0.2,0,0.8,,,,
A,F,1,V,19,AF1V19,V49.  Victor discussed the pipe and the sting today,pipe,sting,70.749,28.925,1,54.66571429,1,0,0,0,,,,
A,M,2,V,11,AM2V11,V161.  Victor discussed the clover and the veto today,clover,veto,67.569,34.167,0.9,54.71375,0.9,0.1,0,0,,,,
A,F,1,M,8,AF1M08,M38.  Michael discussed the garden and the ink today,garden,ink,72.999,30.918,0.9,54.72428571,0.9,0.1,0,0,,,,
H,M,2,V,26,HM2V26,V236.  Victor discussed the sheep and the print today,sheep,print,64.64,67.673,0.7,54.72714286,0,0.3,0.7,0,,,,
A,F,1,M,18,AF1M18,M48.  Michael discussed the autumn and the plate today,autumn,plate,65.006,32.298,0.9,54.74285714,0.9,0.1,0,0,,,,
S,M,2,V,1,SM2V01,V181.  Victor discussed the baboon and the impact today,baboon,impact,31.934,36.486,0.5,54.7675,0,0.5,0,0.5,,,,
A,M,1,M,11,AM1M11,M41.  Michael discussed the zoo and the disguise today,zoo,disguise,70.163,32.947,0.8,54.825,0.8,0.2,0,0,,,,
A,F,1,M,10,AF1M10,M40.  Michael discussed the classroom and the membrane today,classroom,membrane,71.699,31.966,0.8,54.85714286,0.8,0.2,0,0,,,,
A,M,3,M,27,AM3M27,M297.  Michael discussed the rod and the city today,rod,city,63.029,39.26,0.8,54.95125,0.8,0.2,0,0,,,,
S,M,2,V,24,SM2V24,V204.  Victor discussed the cheek and the jet today,cheek,jet,28.561,33.577,0.6,54.98375,0,0.4,0,0.6,,,,
A,M,3,T,15,AM3T15,T285.  Theo discussed the slime and the woman today,slime,woman,69.938,33.383,1,55.00125,1,0,0,0,,,,
A,M,2,M,15,AM2M15,M165.  Michael discussed the lesson and the hardware today,lesson,hardware,67.295,37.557,0.7,55.005,0.7,0.3,0,0,,,,
A,F,1,V,9,AF1V09,V39.  Victor discussed the rug and the vein today,rug,vein,66.009,33.962,0.8,55.00571429,0.8,0.2,0,0,,,,
S,F,1,V,10,SF1V10,V70.  Victor discussed the song and the deadline today,song,deadline,54.869,35.339,0.9,55.02625,0,0.1,0,0.9,,,,
A,F,1,V,12,AF1V12,V42.  Victor discussed the turkey and the name today,turkey,name,67.774,31.875,0.9,55.05857143,0.9,0.1,0,0,,,,
S,F,2,T,16,SF2T16,T196.  Theo discussed the fall and the jeep today,fall,jeep,30.95,34.875,0.7,55.08875,0.1,0.2,0,0.7,,,,
A,M,3,V,18,AM3V18,V288.  Victor discussed the dessert and the season today,dessert,season,68.272,34.443,0.8,55.1225,0.8,0.1,0.1,0,,,,
A,F,3,V,22,AF3V22,V292.  Victor discussed the novel and the static today,novel,static,74.449,35.219,0.8,55.16625,0.8,0.1,0.1,0,,,,
S,F,2,T,11,SF2T11,T191.  Theo discussed the puddle and the grid today,puddle,grid,33.166,35.989,0.5,55.24,0,0.5,0,0.5,,,,
A,F,3,T,17,AF3T17,T287.  Theo discussed the spruce and the peg today,spruce,peg,70.64,33.059,0.8,55.24375,0.8,0.2,0,0,,,,
A,M,2,T,10,AM2T10,T160.  Theo discussed the wasp and the flood today,wasp,flood,67.994,37.356,0.8,55.255,0.8,0.2,0,0,,,,
A,M,2,V,15,AM2V15,V165.  Victor discussed the shampoo and the donor today,shampoo,donor,68.032,33.464,0.8,55.305,0.8,0.2,0,0,,,,
S,M,1,T,13,SM1T13,T73.  Theo discussed the gallon and the record today,gallon,record,28.431,35.472,0.5,55.32571429,0,0.5,0,0.5,,,,
A,F,1,T,19,AF1T19,T49.  Theo discussed the wolf and the deal today,wolf,deal,71.987,32.97,1,55.33285714,1,0,0,0,,,,
A,M,1,T,16,AM1T16,T46.  Theo discussed the repair and the whistle today,repair,whistle,75.421,31.596,1,55.35125,1,0,0,0,,,,
A,M,2,T,19,AM2T19,T169.  Theo discussed the expense and the column today,expense,column,66.267,32.893,0.8,55.41375,0.8,0.2,0,0,,,,
A,F,3,V,24,AF3V24,V294.  Victor discussed the chorus and the swarm today,chorus,swarm,68.763,31.794,0.7,55.43375,0.7,0.3,0,0,,,,
A,M,2,V,18,AM2V18,V168.  Victor discussed the peas and the stare today,peas,stare,67.921,33.486,0.7,55.43625,0.7,0.3,0,0,,,,
S,F,2,M,16,SF2M16,M196.  Michael discussed the smell and the knock today,smell,knock,33.486,39.574,0.4,55.44,0.2,0.4,0,0.4,,,,
A,M,3,M,11,AM3M11,M281.  Michael discussed the dump and the handle today,dump,handle,63.32,34.316,0.8,55.59875,0.8,0.2,0,0,,,,
S,F,2,T,19,SF2T19,T199.  Theo discussed the comfort and the scar today,comfort,scar,31.837,33.304,0.7,55.61125,0,0.3,0,0.7,,,,
A,M,3,M,26,AM3M26,M296.  Michael discussed the survey and the order today,survey,order,65.724,36.728,0.7,55.6475,0.7,0.3,0,0,,,,
A,M,3,M,23,AM3M23,M293.  Michael discussed the sneeze and the middle today,sneeze,middle,64.65,32.666,0.9,55.64875,0.9,0.1,0,0,,,,
A,F,3,T,19,AF3T19,T289.  Theo discussed the slot and the picnic today,slot,picnic,73.066,35.744,0.7,55.7125,0.7,0.2,0.1,0,,,,
A,M,2,V,5,AM2V05,V155.  Victor discussed the hyphen and the sky today,hyphen,sky,73.642,30.79,1,55.7275,1,0,0,0,,,,
A,F,3,V,12,AF3V12,V282.  Victor discussed the parcel and the thigh today,parcel,thigh,74.195,30.739,0.9,55.74375,0.9,0.1,0,0,,,,
S,M,2,M,27,SM2M27,M207.  Michael discussed the infant and the trail today,infant,trail,28.895,32.946,0.8,55.75,0,0.2,0,0.8,,,,
A,M,2,V,2,AM2V02,V152.  Victor discussed the oats and the east today,oats,east,68.763,36.15,0.9,55.7625,0.9,0.1,0,0,,,,
A,F,3,T,1,AF3T01,T271.  Theo discussed the grape and the scarf today,grape,scarf,71.583,33.545,0.9,55.77375,0.9,0.1,0,0,,,,
A,F,1,M,21,AF1M21,M51.  Michael discussed the bun and the platform today,bun,platform,68.055,32.137,0.9,55.81142857,0.9,0.1,0,0,,,,
A,F,3,M,2,AF3M02,M272.  Michael discussed the input and the sheriff today,input,sheriff,74.864,28.499,1,55.81375,1,0,0,0,,,,
A,M,2,T,29,AM2T29,T179.  Theo discussed the butcher and the pond today ,butcher,pond,65.576,38.893,0.6,55.88,0.6,0.4,0,0,,,,
S,F,1,M,18,SF1M18,M78.  Michael discussed the bolts and the painting today,bolts,painting,53.376,34.751,0.8,55.895,0.1,0.1,0,0.8,,,,
S,F,1,M,13,SF1M13,M73.  Michael discussed the cartridge and the suburb today,cartridge,suburb,53.809,32.796,0.8,55.91375,0.1,0.1,0,0.8,,,,
A,M,2,M,12,AM2M12,M162.  Michael discussed the world and the friction today,world,friction,68.134,35.4,0.7,55.915,0.7,0.2,0.1,0,,,,
A,F,3,V,4,AF3V04,V274.  Victor discussed the substance and the lamp today,substance,lamp,70.234,28.775,0.7,55.965,0.7,0.3,0,0,,,,
A,M,2,T,4,AM2T04,T154.  Theo discussed the fair and the album today,fair,album,67.436,33.388,0.8,56.0375,0.8,0.2,0,0,,,,
S,F,2,V,22,SF2V22,V202.  Victor discussed the guess and the evil today,guess,evil,33.101,38.99,0.6,56.06,0,0.4,0,0.6,,,,
A,F,3,T,14,AF3T14,T284.  Theo discussed the fortune and the lava today,fortune,lava,71.043,32.833,0.8,56.07375,0.8,0.2,0,0,,,,
H,M,2,T,24,HM2T24,T234.  Theo discussed the flap and the diet today,flap,diet,69.28,68.413,1,56.09428571,0,0,1,0,,,,
S,F,2,M,14,SF2M14,M194.  Michael discussed the friend and the content today,friend,content,30.081,39.336,0.7,56.09875,0,0.3,0,0.7,,,,
S,M,2,M,1,SM2M01,M181.  Michael discussed the master and the lemon today,master,lemon,30.314,38.673,0.5,56.18,0,0.5,0,0.5,,,,
A,F,3,V,9,AF3V09,V279.  Victor discussed the clerk and the length today,clerk,length,72.594,33.059,0.9,56.18125,0.9,0.1,0,0,,,,
A,M,3,M,6,AM3M06,M276.  Michael discussed the wizard and the status today,wizard,status,65.015,33.607,0.9,56.225,0.9,0.1,0,0,,,,
S,F,1,V,9,SF1V09,V69.  Victor discussed the classmate and the darkness today,classmate,darkness,53.786,34.65,0.8,56.23,0,0.2,0,0.8,,,,
A,F,3,T,5,AF3T05,T275.  Theo discussed the sketch and the lease today,sketch,lease,69.858,33.12,0.8,56.2425,0.8,0.2,0,0,,,,
A,F,1,T,12,AF1T12,T42.  Theo discussed the arrow and the tray today,arrow,tray,67.579,30.193,0.9,56.30428571,0.9,0.1,0,0,,,,
A,M,2,M,10,AM2M10,M160.  Michael discussed the kit and the end today,kit,end,65.354,34.428,0.9,56.3075,0.9,0.1,0,0,,,,
S,F,3,M,14,SF3M14,M314.  Michael discussed the fever and the lawyer today,fever,lawyer,33.506,41.043,0.8,56.34625,0,0.2,0,0.8,,,,
A,M,2,M,6,AM2M06,M156.  Michael discussed the clown and the snow today,clown,snow,66.757,36.072,0.9,56.3475,0.9,0.1,0,0,,,,
A,F,1,V,23,AF1V23,V53.  Victor discussed the worm and the rule today,worm,rule,66.266,33.35,0.8,56.37,0.8,0.2,0,0,,,,
A,F,3,M,30,AF3M30,M300.  Michael discussed the photo and the waiter today,photo,waiter,72.686,31.286,0.9,56.38375,0.9,0.1,0,0,,,,
S,F,2,V,24,SF2V24,V204.  Victor discussed the cheek and the jet today,cheek,jet,34.539,32.866,0.8,56.385,0,0.2,0,0.8,,,,
S,F,2,T,10,SF2T10,T190.  Theo discussed the height and the pecan today,height,pecan,34.559,37.371,0.5,56.415,0.1,0.4,0,0.5,,,,
A,F,3,T,26,AF3T26,T296.  Theo discussed the market and the pebble today,market,pebble,72.584,29.908,0.8,56.43375,0.8,0.2,0,0,,,,
A,F,3,V,11,AF3V11,V281.  Victor discussed the seat and the builder today,seat,builder,73.256,27.307,0.9,56.44875,0.9,0.1,0,0,,,,
A,M,3,T,12,AM3T12,T282.  Theo discussed the extra and the split today,extra,split,66.546,29.879,0.9,56.4825,0.9,0.1,0,0,,,,
S,M,2,M,14,SM2M14,M194.  Michael discussed the friend and the content today,friend,content,29.868,34.945,0.6,56.49625,0,0.4,0,0.6,,,,
A,M,2,V,6,AM2V06,V156.  Victor discussed the heart and the spin today,heart,spin,68.318,36.019,0.9,56.5075,0.9,0.1,0,0,,,,
A,M,3,T,6,AM3T06,T276.  Theo discussed the major and the bathroom today,major,bathroom,69.828,31.541,1,56.50875,1,0,0,0,,,,
A,M,2,V,23,AM2V23,V173.  Victor discussed the traction and the garbage today,traction,garbage,66.98,34.904,0.8,56.56125,0.8,0.2,0,0,,,,
A,F,2,M,15,AF2M15,M165.  Michael discussed the lesson and the hardware today,lesson,hardware,72.989,26.335,1,56.56285714,1,0,0,0,,,,
A,F,1,T,24,AF1T24,T54.  Theo discussed the bargain and the traffic today,bargain,traffic,71.292,31.325,0.9,56.56428571,0.9,0.1,0,0,,,,
A,F,1,M,29,AF1M29,M59.  Michael discussed the post and the father today,post,father,69.827,30.634,1,56.57285714,1,0,0,0,,,,
A,M,2,T,15,AM2T15,T165.  Theo discussed the basement and the cannon today,basement,cannon,67.807,33.592,0.8,56.59875,0.8,0.2,0,0,,,,
A,F,1,T,1,AF1T01,T31.  Theo discussed the yarn and the liquid today,yarn,liquid,70.963,33.3,0.9,56.63571429,0.9,0.1,0,0,,,,
A,M,2,V,9,AM2V09,V159.  Victor discussed the ostrich and the cough today,ostrich,cough,65.188,34.124,0.8,56.66125,0.8,0.2,0,0,,,,
A,M,3,T,22,AM3T22,T292.  Theo discussed the shuttle and the owl today,shuttle,owl,65.685,31.967,1,56.66625,1,0,0,0,,,,
A,F,3,T,23,AF3T23,T293.  Theo discussed the walk and the sugar today,walk,sugar,73.162,34.247,0.8,56.6875,0.8,0.1,0.1,0,,,,
A,F,3,M,9,AF3M09,M279.  Michael discussed the thumb and the snack today,thumb,snack,73.181,27.953,0.9,56.7,0.9,0.1,0,0,,,,
S,M,2,T,25,SM2T25,T205.  Theo discussed the costume and the salmon today,costume,salmon,28.245,33.879,0.7,56.74875,0,0.3,0,0.7,,,,
A,M,3,T,2,AM3T02,T272.  Theo discussed the salesman and the complex today,salesman,complex,65.612,34.691,1,56.775,1,0,0,0,,,,
S,F,2,V,10,SF2V10,V190.  Victor discussed the frills and the lag today,frills,lag,33.557,36.2,0.5,56.815,0.1,0.4,0,0.5,,,,
A,F,3,M,24,AF3M24,M294.  Michael discussed the sunset and the pinch today,sunset,pinch,75.635,27.407,0.9,56.8775,0.9,0.1,0,0,,,,
A,F,1,M,16,AF1M16,M46.  Michael discussed the country and the error today,country,error,72.341,28.862,0.9,56.9,0.9,0.1,0,0,,,,
A,M,1,M,8,AM1M08,M38.  Michael discussed the garden and the ink today,garden,ink,70.892,29.462,1,56.90125,1,0,0,0,,,,
S,F,2,M,30,SF2M30,M210.  Michael discussed the sleep and the victim today,sleep,victim,33.829,38.471,0.5,56.94,0,0.5,0,0.5,,,,
A,F,1,T,3,AF1T03,T33.  Theo discussed the bus and the pill today,bus,pill,71.165,32.728,0.8,56.95571429,0.8,0.2,0,0,,,,
S,M,2,V,9,SM2V09,V189.  Victor discussed the cluster and the attempt today,cluster,attempt,31.125,35.845,0.6,57.00375,0,0.4,0,0.6,,,,
H,M,2,V,12,HM2V12,V222.  Victor discussed the face and the stencil today,face,stencil,65.564,64.753,0.5,57.10714286,0.2,0.3,0.5,0,,,,
A,F,3,M,25,AF3M25,M295.  Michael discussed the broom and the sleeve today,broom,sleeve,72.888,27.163,0.9,57.1175,0.9,0.1,0,0,,,,
A,F,1,V,1,AF1V01,V31.  Victor discussed the girl and the planet today,girl,planet,70.081,28.246,0.8,57.16571429,0.8,0.2,0,0,,,,
A,F,3,V,18,AF3V18,V288.  Victor discussed the dessert and the season today,dessert,season,72.977,34.368,0.7,57.21875,0.7,0.3,0,0,,,,
A,F,1,V,11,AF1V11,V41.  Victor discussed the sleet and the request today,sleet,request,67.325,35.379,0.8,57.28857143,0.8,0.2,0,0,,,,
A,M,3,T,13,AM3T13,T283.  Theo discussed the pain and the south today,pain,south,65.091,33.617,1,57.295,1,0,0,0,,,,
A,F,3,M,1,AF3M01,M271.  Michael discussed the beach and the chunk today,beach,chunk,73.314,31.582,0.7,57.3075,0.7,0.2,0.1,0,,,,
A,M,2,M,24,AM2M24,M174.  Michael discussed the net and the lashes today,net,lashes,66.931,41.51,0.7,57.35875,0.7,0.2,0.1,0,,,,
S,F,1,M,8,SF1M08,M68.  Michael discussed the stars and the hum today,stars,hum,51.887,37.583,0.6,57.3775,0,0.3,0.1,0.6,,,,
A,M,2,T,20,AM2T20,T170.  Theo discussed the hope and the problem today,hope,problem,68.553,32.896,0.9,57.38375,0.9,0.1,0,0,,,,
A,M,3,M,30,AM3M30,M300.  Michael discussed the photo and the waiter today,photo,waiter,64.248,35.458,0.9,57.4,0.9,0.1,0,0,,,,
A,M,2,V,24,AM2V24,V174.  Victor discussed the mall and the grammar today,mall,grammar,64.929,36.879,0.8,57.42125,0.8,0.2,0,0,,,,
A,F,3,V,8,AF3V08,V278.  Victor discussed the insect and the shawl today,insect,shawl,74.578,34.244,0.7,57.4325,0.7,0.3,0,0,,,,
A,M,1,V,10,AM1V10,V40.  Victor discussed the sickness and the applause today,sickness,applause,72.727,33.962,1,57.435,1,0,0,0,,,,
A,F,3,M,21,AF3M21,M291.  Michael discussed the crack and the sprint today,crack,sprint,75.199,30.031,0.8,57.44125,0.8,0.2,0,0,,,,
A,F,3,T,29,AF3T29,T299.  Theo discussed the stuff and the thorn today,stuff,thorn,73.506,30.436,0.8,57.4725,0.8,0.2,0,0,,,,
S,F,2,M,25,SF2M25,M205.  Michael discussed the answer and the money today,answer,money,33.961,36.475,0.7,57.4725,0.1,0.2,0,0.7,,,,
A,M,1,M,14,AM1M14,M44.  Michael discussed the boss and the lime today,boss,lime,71.813,29.796,1,57.49875,1,0,0,0,,,,
S,F,3,V,19,SF3V19,V319.  Victor discussed the saw and the cattle today,saw,cattle,34.943,39.474,0.9,57.52,0,0.1,0,0.9,,,,
S,M,2,T,2,SM2T02,T182.  Theo discussed the coast and the salon today,coast,salon,30.679,36.25,0.6,57.5675,0,0.3,0.1,0.6,,,,
S,F,3,V,15,SF3V15,V315.  Victor discussed the church and the tissue today,church,tissue,32.08,38.684,0.7,57.5725,0.1,0.2,0,0.7,,,,
A,F,1,M,28,AF1M28,M58.  Michael discussed the exchange and the bristle today,exchange,bristle,68.621,29.817,1,57.63428571,1,0,0,0,,,,
A,M,2,M,19,AM2M19,M169.  Michael discussed the yoga and the image today,yoga,image,69.18,33.102,0.9,57.64875,0.9,0.1,0,0,,,,
A,M,3,M,9,AM3M09,M279.  Michael discussed the thumb and the snack today,thumb,snack,62.958,33.141,0.8,57.675,0.8,0.2,0,0,,,,
A,F,3,T,2,AF3T02,T272.  Theo discussed the salesman and the complex today,salesman,complex,73.717,28.512,0.9,57.725,0.9,0.1,0,0,,,,
A,M,1,M,2,AM1M02,M32.  Michael discussed the bundle and the foot today ,bundle,foot,69.755,32.655,0.8,57.77375,0.8,0.1,0.1,0,,,,
S,F,2,M,15,SF2M15,M195.  Michael discussed the nightmare and the crust today,nightmare,crust,31.297,35.793,0.6,57.8125,0.1,0.3,0,0.6,,,,
